Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0402_1005Metric",43.400000,24.790000,180.000000,top
"C2","100nF","C_0805_2012Metric",45.700000,39.000000,0.000000,top
"C3","100nF","C_0805_2012Metric",45.500000,33.100000,0.000000,top
"C4","68nF","C_0805_2012Metric",23.712500,25.260000,0.000000,top
"C5","4.7nF","C_0805_2012Metric",23.462500,20.750000,0.000000,top
"C6","100nF","C_0402_1005Metric",43.420000,25.990000,180.000000,top
"C7","100nF","C_0402_1005Metric",43.320000,27.000000,0.000000,top
"C8","1uF","C_0402_1005Metric",42.900000,29.600000,180.000000,top
"C9","1uF","C_0805_2012Metric",45.762500,15.400000,0.000000,top
"C10","10uF","C_0402_1005Metric",49.820000,34.600000,180.000000,top
"C11","100nF","C_0805_2012Metric",16.500000,45.437500,90.000000,top
"C12","100nF","C_0402_1005Metric",49.820000,33.600000,180.000000,top
"C13","100nF","C_0805_2012Metric",30.169905,41.600000,0.000000,top
"C14","100nF","C_0402_1005Metric",41.620000,31.500000,0.000000,top
"C15","100nF","C_0402_1005Metric",43.000000,23.800000,0.000000,top
"C16","100nF","C_0402_1005Metric",42.200000,22.700000,0.000000,top
"C17","10nF","C_0402_1005Metric",41.000000,23.700000,180.000000,top
"C18","10nF","C_0402_1005Metric",40.280000,22.700000,180.000000,top
"C19","10nF","C_0402_1005Metric",41.480000,27.000000,180.000000,top
"D1","APA102","LED_RGB_5050-6",36.226000,42.900000,0.000000,top
"D2","APA102","LED_RGB_5050-6",23.500000,42.800000,0.000000,top
"D3","LED_YELLOW","LED_0402_1005Metric",21.000000,48.000000,180.000000,top
"D4","LED_RED","LED_0402_1005Metric",15.515000,34.200000,0.000000,top
"D5","LED_GREEN","LED_0402_1005Metric",21.200000,32.200000,0.000000,top
"FB1","FerriteBead","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",45.475000,35.375376,180.000000,top
"R1","47","R_0402_1005Metric",26.600000,26.300000,0.000000,top
"R2","330","R_0805_2012Metric",25.000000,47.800000,180.000000,top
"R3","22K","R_0402_1005Metric",54.550001,26.800000,0.000000,top
"R4","10k","R_0402_1005Metric",54.560001,25.800000,0.000000,top
"R5","47","R_0402_1005Metric",28.900000,20.100000,180.000000,top
"R6","47","R_0402_1005Metric",36.400000,18.110000,-90.000000,top
"R7","10k","R_0805_2012Metric",19.772863,21.470000,-90.000000,top
"R8","10k","R_0805_2012Metric",38.700000,27.400000,-90.000000,top
"R9","4.7k","R_0805_2012Metric",10.400000,45.200000,90.000000,top
"R10","4.7k","R_0805_2012Metric",12.800000,45.200000,90.000000,top
"R11","22k","R_0402_1005Metric",54.550001,28.800000,0.000000,top
"R12","680","R_0402_1005Metric",19.938500,25.650000,-90.000000,top
"R13","22k","R_0402_1005Metric",54.550001,29.800000,0.000000,top
"R14","33","R_0402_1005Metric",43.800000,22.100000,90.000000,top
"R15","22k","R_0402_1005Metric",54.550001,27.800000,0.000000,top
"R16","330","R_0402_1005Metric",15.500000,35.300000,0.000000,top
"R17","330","R_0402_1005Metric",21.200000,33.300000,0.000000,top
"R18","10k","R_0402_1005Metric",49.655000,43.490000,0.000000,top
"R19","10k","R_0402_1005Metric",49.655000,41.500000,0.000000,top
"R20","100k","R_0402_1005Metric",51.600000,14.800000,0.000000,top
"R21","100k","R_0402_1005Metric",39.400000,14.750000,0.000000,top
"TP9","5016","KEYSTONE_5016",54.000000,33.500000,-90.000000,top
"U2","74LVC157","SOIC-16_3.9x9.9mm_P1.27mm",33.575000,24.175000,0.000000,top
"U3","PCM1862DBT","DBT0030A_N",48.250000,26.250000,0.000000,top
"U5","DIR9001PW","PW28-M",12.778200,26.475000,0.000000,top
"Y3","XO1","Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm",45.925000,20.100000,180.000000,top
